market,threshold,model,train_years,test_year,n_train,n_test,base_rate,auc,brier_model,brier_naive,brier_improvement,logloss_model,logloss_naive,logloss_improvement,cal_slope,cal_intercept,ece,is_monotonic,p_model_min,p_model_max,p_model_mean,p_model_std
F5_TeamTotals_away,over_2.0,LightGBM,2022,2023,2430,2430,0.4152,0.5304,0.264096,0.242813,-0.021283,0.7374,0.6787,-0.0587,0.1388,-0.2415,0.1292,True,0.04232,0.8479,0.341992,0.15328
F5_TeamTotals_away,over_2.0,LogReg,2022-2023,2024,4860,2430,0.3864,0.5295,0.247285,0.2371,-0.010185,0.6908,0.6671,-0.0236,0.1834,-0.3836,0.0887,True,0.001585,0.893743,0.399569,0.127789
F5_TeamTotals_away,over_2.0,LightGBM,2022-2023,2024,4860,2430,0.3864,0.5314,0.24713,0.2371,-0.01003,0.6903,0.6671,-0.0231,0.1886,-0.3832,0.0824,True,0.058716,0.80297,0.401989,0.127408
F5_TeamTotals_away,over_2.0,LogReg,2022-2023-2024,2025,7290,2430,0.3807,0.5606,0.235955,0.235758,-0.000197,0.6654,0.6644,-0.001,0.4759,-0.2656,0.0437,True,0.059212,0.723274,0.38856,0.104407
F5_TeamTotals_away,over_2.0,LightGBM,2022-2023-2024,2025,7290,2430,0.3807,0.549,0.23937,0.235758,-0.003612,0.673,0.6644,-0.0086,0.3355,-0.3322,0.0579,False,0.10105,0.760943,0.390535,0.108999
F5_TeamTotals_away,over_2.5,LogReg,2022,2023,2430,2430,0.4152,0.5337,0.264135,0.242813,-0.021322,0.7427,0.6787,-0.064,0.1513,-0.2362,0.1366,False,0.001674,1.0,0.350272,0.166264
F5_TeamTotals_away,over_2.5,LightGBM,2022,2023,2430,2430,0.4152,0.5304,0.264096,0.242813,-0.021283,0.7374,0.6787,-0.0587,0.1388,-0.2415,0.1292,True,0.04232,0.8479,0.341992,0.15328
F5_TeamTotals_away,over_2.5,LogReg,2022-2023,2024,4860,2430,0.3864,0.5295,0.247285,0.2371,-0.010185,0.6908,0.6671,-0.0236,0.1834,-0.3836,0.0887,True,0.001585,0.893743,0.399569,0.127789
F5_TeamTotals_away,over_2.5,LightGBM,2022-2023,2024,4860,2430,0.3864,0.5314,0.24713,0.2371,-0.01003,0.6903,0.6671,-0.0231,0.1886,-0.3832,0.0824,True,0.058716,0.80297,0.401989,0.127408
F5_TeamTotals_away,over_2.5,LogReg,2022-2023-2024,2025,7290,2430,0.3807,0.5606,0.235955,0.235758,-0.000197,0.6654,0.6644,-0.001,0.4759,-0.2656,0.0437,True,0.059212,0.723274,0.38856,0.104407
F5_TeamTotals_away,over_2.5,LightGBM,2022-2023-2024,2025,7290,2430,0.3807,0.549,0.23937,0.235758,-0.003612,0.673,0.6644,-0.0086,0.3355,-0.3322,0.0579,False,0.10105,0.760943,0.390535,0.108999
