date,game_id,home_team,away_team,actual_total,market_line,over_pred_residual,over_pred_total,over_edge,under_prob,bet_direction,bet_result,profit_units,conflict_flag,train_samples,over_model_trees,under_model_trees
2025-02-07,0022400737,BKN,MIA,188,211.16666666666666,0.01583555780763058,211.1825022244743,0.015835557807633904,0.5552355758658545,,,,False,754,0,0
2025-02-07,0022400736,ATL,MIL,225,241.5,-9.942940041382116,231.55705995861788,-9.942940041382116,0.8458941552769343,,,,False,754,0,0
2025-02-07,0022400738,DET,PHI,237,224.66666666666666,2.3703032380915894,227.03696990475825,2.3703032380915943,0.6078643643569038,,,,False,754,0,0
2025-02-07,0022400739,OKC,TOR,230,231.5,-2.931986418284312,228.5680135817157,-2.9319864182843105,0.2979351358677446,,,,False,754,0,0
2025-02-07,0022400740,PHX,UTA,262,231.5,-4.454253286807036,227.04574671319295,-4.454253286807045,0.6313821716494895,UNDER,LOSS,-1.0,False,754,0,0
2025-02-07,0022400734,CHA,SAS,233,227.5,-7.669289719085336,219.83071028091467,-7.669289719085327,0.7487043583890608,UNDER,LOSS,-1.0,False,754,0,0
2025-02-08,0022400743,ORL,SAS,223,218.66666666666666,-9.70117629341674,208.9654903732499,-9.70117629341675,0.7005112347848065,,,,False,761,0,0
2025-02-08,0022400745,CHI,GSW,243,235.5,-0.838280604196899,234.6617193958031,-0.8382806041969104,0.3900984561949168,,,,False,761,0,0
2025-02-08,0022400741,DAL,HOU,221,226.0,0.5028059637689292,226.50280596376894,0.5028059637689353,0.2764151314133124,,,,False,761,0,0
2025-02-08,0022400742,LAL,IND,241,231.0,2.19437149153274,233.19437149153273,2.194371491532735,0.3455343151472349,,,,False,761,0,0
2025-02-08,0022400744,WAS,ATL,236,236.83333333333334,-4.23613887434504,232.5971944589883,-4.236138874345045,0.5999336605935973,UNDER,WIN,0.9090909090909091,False,761,0,0
2025-02-08,0022400749,PHX,DEN,227,237.66666666666666,6.6203575005044275,244.2870241671711,6.62035750050444,0.5676775070548153,,,,False,761,0,0
2025-02-08,0022400746,MEM,OKC,237,242.33333333333334,1.277772380037324,243.61110571337068,1.2777723800373337,0.4979335936322735,,,,False,761,0,0
2025-02-08,0022400748,NYK,BOS,235,231.83333333333334,-3.3615073475026014,228.47182598583075,-3.361507347502595,0.7006420570297885,,,,False,761,0,0
2025-02-08,0022400751,LAC,UTA,240,224.5,-2.549484029299699,221.9505159707003,-2.549484029299691,0.5040898737686426,,,,False,761,0,0
2025-02-08,0022400750,SAC,NOP,241,238.0,11.06498426686708,249.06498426686707,11.064984266867071,0.326478165351907,,,,False,761,0,0
2025-02-08,0022400747,MIN,POR,212,216.33333333333334,-1.394085599149091,214.93924773418425,-1.3940855991490935,0.3852427528595957,,,,False,761,0,0
2025-02-09,0022400752,DET,CHA,214,225.0,5.928046471814113,230.92804647181413,5.9280464718141275,0.5536069102349434,,,,False,772,0,0
2025-02-09,0022400753,HOU,TOR,181,224.5,1.4181165865021104,225.91811658650212,1.4181165865021228,0.4536899335957808,,,,False,772,0,0
2025-02-09,0022400754,MIL,PHI,262,227.16666666666666,-4.506231203744432,222.66043546292224,-4.50623120374442,0.4488685519915753,,,,False,772,0,0
2025-02-10,0022400756,ORL,ATL,218,221.66666666666666,-7.570655990225203,214.09601067644147,-7.570655990225191,0.544511129908128,,,,False,775,0,0
2025-02-10,0022400757,WAS,SAS,252,236.16666666666666,-1.64075929067097,234.5259073759957,-1.6407592906709567,0.6274589784446111,,,,False,775,0,0
2025-02-10,0022400759,MIA,BOS,188,219.33333333333334,6.622097402902284,225.95543073623563,6.622097402902284,0.4717410188736971,OVER,LOSS,-1.0,False,775,0,0
2025-02-10,0022400755,CLE,MIN,235,228.66666666666666,-6.714187111977375,221.9524795546893,-6.714187111977367,0.6634044897162729,UNDER,LOSS,-1.0,False,775,0,0
2025-02-10,0022400758,BKN,CHA,186,212.66666666666666,-5.565867381531058,207.1007992851356,-5.5658673815310635,0.3244625079380917,,,,False,775,0,0
2025-02-10,0022400760,MIL,GSW,236,231.5,1.609485797561598,233.1094857975616,1.6094857975616037,0.28527329530941714,,,,False,775,0,0
2025-02-10,0022400762,DAL,SAC,257,237.5,13.713727731068646,251.21372773106864,13.713727731068644,0.33543127783080356,,,,False,775,0,0
2025-02-10,0022400763,DEN,POR,263,233.0,-3.2573216415951265,229.74267835840487,-3.2573216415951265,0.5668678676700285,,,,False,775,0,0
2025-02-10,0022400768,LAL,UTA,245,234.66666666666666,7.203624104119525,241.87029077078617,7.203624104119513,0.3693246038716295,OVER,WIN,0.9090909090909091,False,775,0,0
2025-02-10,0022400761,OKC,NOP,238,234.33333333333334,-5.178653063333913,229.15468026999943,-5.178653063333911,0.6720688120797257,UNDER,LOSS,-1.0,False,775,0,0
2025-02-11,0022400764,PHI,TOR,209,226.16666666666666,0.5208466610570972,226.68751332772376,0.5208466610571065,0.4511693622366424,,,,False,785,0,0
2025-02-11,0022400765,IND,NYK,243,239.66666666666666,3.1985621150484147,242.86522878171508,3.198562115048418,0.339254448705632,,,,False,785,0,0
2025-02-11,0022400766,CHI,DET,224,238.5,2.9836733681358822,241.4836733681359,2.9836733681358965,0.303793444725581,,,,False,785,0,0
2025-02-11,0022400767,PHX,MEM,231,244.16666666666666,10.564128484245515,254.73079515091217,10.564128484245515,0.35140936239920373,,,,False,785,0,0
2025-02-12,0022400770,ORL,CHA,188,204.33333333333334,2.576400140043957,206.9097334733773,2.576400140043944,0.33102763384719436,,,,False,789,0,0
2025-02-12,0022400776,MIN,MIL,204,224.66666666666666,3.7710865973733,228.43775326403997,3.771086597373312,0.4798568036811048,,,,False,789,0,0
2025-02-12,0022400769,BOS,SAS,219,233.5,9.797093946615274,243.29709394661526,9.797093946615263,0.213599354986773,,,,False,789,0,0
2025-02-12,0022400772,BKN,PHI,196,212.66666666666666,-0.343714731420954,212.3229519352457,-0.34371473142095965,0.5530757394187287,,,,False,789,0,0
2025-02-12,0022400773,NYK,ATL,297,239.66666666666666,-0.7006846087277545,238.9659820579389,-0.7006846087277552,0.5373204993809348,,,,False,789,0,0
2025-02-12,0022400775,CHI,DET,238,236.83333333333334,-0.8629064255063043,235.97042690782703,-0.8629064255063099,0.5467290896918464,,,,False,789,0,0
2025-02-12,0022400774,TOR,CLE,239,236.33333333333334,-0.9202241706720584,235.41310916266127,-0.9202241706720713,0.40643074388726963,,,,False,789,0,0
2025-02-12,0022400771,WAS,IND,264,239.5,6.079867335724553,245.57986733572454,6.079867335724543,0.7201731234559318,,,,False,789,0,0
2025-02-12,0022400778,OKC,MIA,216,218.83333333333334,0.20907180645878226,219.04240513979212,0.20907180645878043,0.41476966909324703,,,,False,789,0,0
2025-02-12,0022400779,HOU,PHX,230,223.5,-4.404984680147081,219.0950153198529,-4.404984680147095,0.7489171701039387,UNDER,LOSS,-1.0,False,789,0,0
2025-02-12,0022400780,DEN,POR,253,232.83333333333334,0.83027081008081,233.66360414341415,0.8302708100808047,0.42436379668529356,,,,False,789,0,0
2025-02-12,0022400777,NOP,SAC,230,238.5,5.116967546814835,243.61696754681483,5.116967546814834,0.2744335635436412,OVER,LOSS,-1.0,False,789,0,0
2025-02-12,0022400781,UTA,LAL,250,236.33333333333334,0.46094299520306936,236.7942763285364,0.46094299520305526,0.43214485772404526,,,,False,789,0,0
