date,game_id,home_team,away_team,actual_total,market_line,pred_model,pred_matchup,pred_blended,edge,bet_direction,profit,result,edge_bucket,train_samples
2025-04-13,0022401193,HOU,DEN,237,233.66666666666666,233.4906895856687,246.25140708355275,242.42319183418755,8.756525167520891,,,,,1210
2025-04-13,0022401187,BOS,CHA,179,211.5,226.74063050123374,224.38923667242716,225.09465482106913,13.594654821069128,,,,,1210
2025-04-13,0022401192,MIL,DET,273,224.0,234.03589993735582,250.52389813914118,245.57749867860556,21.577498678605565,,,,,1210
2025-04-13,0022401198,GSW,LAC,243,218.33333333333334,231.45529344531107,228.04528297352275,229.06828611505924,10.734952781725895,,,,,1210
2025-04-13,0022401194,MEM,DAL,229,228.33333333333334,228.74219819442317,233.47537679192936,232.05542321267748,3.7220898793441393,,,,,1210
2025-04-13,0022401196,NOP,OKC,215,235.66666666666666,229.77246947528224,241.25835953942212,237.81259252018015,2.1459258535134893,,,,,1210
2025-04-13,0022401197,SAS,TOR,243,228.66666666666666,225.97933237094472,225.825463219366,225.87162396483959,-2.7950427018270716,,,,,1210
2025-04-13,0022401200,SAC,PHX,207,224.16666666666666,228.54167784845396,241.65119588288735,237.71834047255732,13.551673805890658,,,,,1210
2025-04-13,0022401199,POR,LAL,190,220.16666666666666,229.45894799516154,240.19579741405366,236.974742588386,16.808075921719336,,,,,1210
2025-04-13,0022401195,MIN,UTA,221,232.33333333333334,227.7093136743661,248.10559299640678,241.98670919979457,9.653375866461232,,,,,1210
2025-04-13,0022401188,BKN,NYK,218,214.0,225.52703069769282,222.823947675329,223.63487258203813,9.634872582038128,,,,,1210
2025-10-21,0022500001,OKC,HOU,249,227.5,235.27265479110898,245.04289560255103,242.1118233591184,14.611823359118404,,,,,1225
2025-10-21,0022500002,LAL,GSW,228,225.83333333333334,233.18491055131017,237.13947143179084,235.95310316764662,10.119769834313274,,,,,1225
2025-10-22,0022500080,CHA,BKN,253,227.16666666666666,216.6003487466572,214.23743409064747,214.94630848745038,-12.220358179216277,,,,,1227
2025-10-22,0022500083,BOS,PHI,233,228.0,227.52056151652712,226.10390580041542,226.52890251524892,-1.471097484751084,,,,,1227
2025-10-22,0022500004,DAL,SAS,217,224.5,224.4966600708282,230.25069582633267,228.52448509968133,4.024485099681328,OVER,-110.0,LOSS,4.0-5.0,1227
2025-10-22,0022500089,POR,MIN,232,219.83333333333334,227.4710366691925,226.887586431641,227.06262150290644,7.2292881695730955,OVER,100.0,WIN,6.0-8.0,1227
2025-10-22,0022500082,ATL,TOR,256,235.83333333333334,230.1888265250845,238.53043606833177,236.02795320535756,0.19461987202421938,,,,,1227
2025-10-22,0022500003,NYK,CLE,230,228.5,231.36813274005564,232.22330053459143,231.96675019623066,3.466750196230663,,,,,1227
2025-10-22,0022500084,CHI,DET,226,233.5,229.7300588215476,243.9122455717535,239.65758954669172,6.1575895466917245,OVER,-110.0,LOSS,6.0-8.0,1227
2025-10-22,0022500085,MEM,NOP,250,238.5,224.50230681815432,230.14100856526272,228.4493980411302,-10.050601958869805,,,,,1227
2025-10-22,0022500086,MIL,WAS,253,227.83333333333334,228.5657939698602,242.61757246906586,238.40203891930418,10.568705585970832,,,,,1227
2025-10-22,0022500087,UTA,LAC,237,226.16666666666666,230.28724969382853,245.16988858998099,240.70509692113524,14.53843025446858,,,,,1227
2025-10-22,0022500088,PHX,SAC,236,228.83333333333334,230.68641210975076,240.4612487884367,237.5287977848309,8.695464451497571,,,,,1227
2025-10-22,0022500081,ORL,MIA,246,216.33333333333334,231.14792529503657,220.348951142818,223.58864338848355,7.255310055150204,OVER,100.0,WIN,6.0-8.0,1227
2025-10-23,0022500006,GSW,DEN,268,234.16666666666666,232.0743980487549,242.85563604500908,239.62126464613283,5.454597979466172,OVER,100.0,WIN,5.0-6.0,1239
2025-10-23,0022500005,IND,OKC,276,232.16666666666666,232.8476891811158,246.10677876025457,242.12905188651294,9.962385219846283,,,,,1239
2025-10-24,0022500093,HOU,DET,226,225.16666666666666,229.3197142701171,244.362105048795,239.84938781519162,14.682721148524962,,,,,1241
2025-10-24,0022500019,LAL,MIN,238,225.5,235.03710564056524,238.9932541610606,237.806409604912,12.306409604912005,,,,,1241
2025-10-24,0022500090,ORL,ATL,218,234.5,229.96709302278074,231.2201403337342,230.84422614044814,-3.655773859551857,,,,,1241
2025-10-24,0022500091,BKN,CLE,255,228.5,227.59571923532275,235.08013187940406,232.83480808617966,4.334808086179663,OVER,100.0,WIN,4.0-5.0,1241
2025-10-24,0022500092,TOR,MIL,238,234.16666666666666,234.82117524040328,245.3170906534917,242.16831602956518,8.001649362898519,,,,,1241
2025-10-24,0022500098,SAC,UTA,209,231.83333333333334,228.0811483449664,245.4534224906634,240.2417402469543,8.40840691362095,,,,,1241
2025-10-24,0022500097,POR,GSW,258,226.5,224.41059445229445,226.3021606416363,225.73469078483373,-0.765309215166269,,,,,1241
2025-10-24,0022500095,NOP,SAS,236,232.16666666666666,222.81712757420948,229.14138730699864,227.24410938716187,-4.922557279504787,UNDER,-110.0,LOSS,4.0-5.0,1241
