date,home_team,away_team,actual_total,market_total_line,model_total,edge,bet_side,bet_result,profit_units,staked_units,n_train_games,skip_reason
2025-03-29,Washington Wizards,Brooklyn Nets,227,219.5,221.54466046316017,2.04466046316017,NO_BET,NO_BET,0.0,0.0,1090,
2025-03-30,Cleveland Cavaliers,LA Clippers,249,230.5,232.5537977867646,2.0537977867645907,NO_BET,NO_BET,0.0,0.0,1097,
2025-03-30,Milwaukee Bucks,Atlanta Hawks,269,235.5,229.4058753297753,-6.094124670224687,UNDER,LOSS,-1.0,1.0,1097,
2025-03-30,Minnesota Timberwolves,Detroit Pistons,227,225.66666666666666,235.78007765897763,10.113410992310975,OVER,WIN,0.9090909090909091,1.0,1097,
2025-03-30,New Orleans Pelicans,Charlotte Hornets,192,212.83333333333334,225.8636292461111,13.030295912777746,OVER,LOSS,-1.0,1.0,1097,
2025-03-30,New York Knicks,Portland Trail Blazers,203,220.5,227.4104057222244,6.910405722224397,OVER,LOSS,-1.0,1.0,1097,
2025-03-30,Philadelphia 76ers,Toronto Raptors,236,223.66666666666666,225.30228399181706,1.635617325150406,NO_BET,NO_BET,0.0,0.0,1097,
2025-03-30,Phoenix Suns,Houston Rockets,257,224.5,227.9763411526984,3.47634115269841,NO_BET,NO_BET,0.0,0.0,1097,
2025-03-30,San Antonio Spurs,Golden State Warriors,254,232.66666666666666,226.72149038244703,-5.945176284219627,UNDER,LOSS,-1.0,1.0,1097,
2025-03-31,Charlotte Hornets,Utah Jazz,216,219.33333333333334,221.67846057349064,2.3451272401572965,NO_BET,NO_BET,0.0,0.0,1105,
2025-03-31,Dallas Mavericks,Brooklyn Nets,222,220.33333333333334,224.10865719955257,3.7753238662192246,NO_BET,NO_BET,0.0,0.0,1105,
2025-03-31,Indiana Pacers,Sacramento Kings,220,234.5,232.40952371498568,-2.0904762850143186,NO_BET,NO_BET,0.0,0.0,1105,
2025-03-31,Los Angeles Lakers,Houston Rockets,202,225.33333333333334,228.8229054368987,3.489572103565365,NO_BET,NO_BET,0.0,0.0,1105,
2025-03-31,Memphis Grizzlies,Boston Celtics,220,236.33333333333334,229.73764350913274,-6.595689824200605,UNDER,WIN,0.9090909090909091,1.0,1105,
2025-03-31,Oklahoma City Thunder,Chicago Bulls,262,239.0,234.84358917949555,-4.156410820504448,UNDER,LOSS,-1.0,1.0,1105,
2025-03-31,Orlando Magic,LA Clippers,183,211.33333333333334,223.38000350225798,12.046670168924635,OVER,LOSS,-1.0,1.0,1105,
2025-03-31,Washington Wizards,Miami Heat,214,220.5,220.99321026946086,0.4932102694608602,NO_BET,NO_BET,0.0,0.0,1105,
2025-04-01,Atlanta Hawks,Portland Trail Blazers,240,238.0,231.6433102397162,-6.356689760283814,UNDER,LOSS,-1.0,1.0,1113,
2025-04-01,Chicago Bulls,Toronto Raptors,255,236.0,238.4282193124547,2.4282193124547007,NO_BET,NO_BET,0.0,0.0,1113,
2025-04-01,Denver Nuggets,Minnesota Timberwolves,279,230.66666666666666,241.6806541508531,11.01398748418643,OVER,WIN,0.9090909090909091,1.0,1113,
2025-04-01,Memphis Grizzlies,Golden State Warriors,259,237.33333333333334,231.06577281014944,-6.267560523183903,UNDER,LOSS,-1.0,1.0,1113,
2025-04-01,Milwaukee Bucks,Phoenix Suns,256,224.33333333333334,223.70375935540505,-0.6295739779282883,NO_BET,NO_BET,0.0,0.0,1113,
2025-04-01,New York Knicks,Philadelphia 76ers,196,223.0,225.531004205472,2.5310042054719872,NO_BET,NO_BET,0.0,0.0,1113,
2025-04-01,San Antonio Spurs,Orlando Magic,221,220.5,219.3402192135673,-1.159780786432691,NO_BET,NO_BET,0.0,0.0,1113,
2025-04-02,Boston Celtics,Miami Heat,227,213.33333333333334,228.55988633778335,15.226553004450011,OVER,WIN,0.9090909090909091,1.0,1120,
2025-04-02,Cleveland Cavaliers,New York Knicks,229,230.0,232.45382119632436,2.4538211963243555,NO_BET,NO_BET,0.0,0.0,1120,
2025-04-02,Dallas Mavericks,Atlanta Hawks,238,237.83333333333334,233.28004985150983,-4.553283481823513,UNDER,LOSS,-1.0,1.0,1120,
2025-04-02,Denver Nuggets,San Antonio Spurs,219,229.5,236.66344961548148,7.163449615481483,OVER,LOSS,-1.0,1.0,1120,
2025-04-02,Houston Rockets,Utah Jazz,248,225.66666666666666,220.5584549233397,-5.108211743326962,UNDER,LOSS,-1.0,1.0,1120,
2025-04-02,Indiana Pacers,Charlotte Hornets,224,224.33333333333334,232.0851261283262,7.751792794992866,OVER,LOSS,-1.0,1.0,1120,
2025-04-02,LA Clippers,New Orleans Pelicans,212,216.5,230.61465825754803,14.11465825754803,OVER,LOSS,-1.0,1.0,1120,
2025-04-02,Oklahoma City Thunder,Detroit Pistons,222,231.33333333333334,230.69894600471758,-0.6343873286157589,NO_BET,NO_BET,0.0,0.0,1120,
2025-04-02,Washington Wizards,Sacramento Kings,227,231.5,222.16831938954775,-9.331680610452253,UNDER,WIN,0.9090909090909091,1.0,1120,
2025-04-03,Brooklyn Nets,Minnesota Timberwolves,195,215.66666666666666,229.04951066524973,13.38284399858307,OVER,LOSS,-1.0,1.0,1129,
2025-04-03,Los Angeles Lakers,Golden State Warriors,239,228.16666666666666,225.48961412778166,-2.6770525388849933,NO_BET,NO_BET,0.0,0.0,1129,
2025-04-03,Miami Heat,Memphis Grizzlies,218,227.83333333333334,226.80065320786917,-1.032680125464168,NO_BET,NO_BET,0.0,0.0,1129,
2025-04-03,Philadelphia 76ers,Milwaukee Bucks,239,224.66666666666666,218.2732091510699,-6.393457515596765,UNDER,LOSS,-1.0,1.0,1129,
2025-04-03,Toronto Raptors,Portland Trail Blazers,215,224.66666666666666,228.92648751725432,4.2598208505876585,OVER,LOSS,-1.0,1.0,1129,
2025-04-03,Washington Wizards,Orlando Magic,206,214.83333333333334,215.64359886868723,0.8102655353538921,NO_BET,NO_BET,0.0,0.0,1129,
2025-04-04,Boston Celtics,Phoenix Suns,226,228.0,229.46913895082233,1.4691389508223267,NO_BET,NO_BET,0.0,0.0,1135,
2025-04-04,Charlotte Hornets,Sacramento Kings,227,219.33333333333334,222.49594928606732,3.1626159527339723,NO_BET,NO_BET,0.0,0.0,1135,
2025-04-04,Chicago Bulls,Portland Trail Blazers,231,237.66666666666666,234.48940317196391,-3.1772634947027427,NO_BET,NO_BET,0.0,0.0,1135,
2025-04-04,Golden State Warriors,Denver Nuggets,222,233.5,239.54614987675902,6.046149876759017,OVER,LOSS,-1.0,1.0,1135,
2025-04-04,Houston Rockets,Oklahoma City Thunder,236,229.33333333333334,231.63302470931012,2.299691375976778,NO_BET,NO_BET,0.0,0.0,1135,
2025-04-04,Indiana Pacers,Utah Jazz,252,235.16666666666666,228.40837140080293,-6.7582952658637225,UNDER,LOSS,-1.0,1.0,1135,
2025-04-04,LA Clippers,Dallas Mavericks,205,225.0,227.14542418728342,2.1454241872834245,NO_BET,NO_BET,0.0,0.0,1135,
2025-04-04,Los Angeles Lakers,New Orleans Pelicans,232,219.66666666666666,228.76271808194696,9.0960514152803,OVER,WIN,0.9090909090909091,1.0,1135,
2025-04-04,San Antonio Spurs,Cleveland Cavaliers,227,241.16666666666666,228.54289166928928,-12.623774997377382,UNDER,WIN,0.9090909090909091,1.0,1135,
2025-04-04,Toronto Raptors,Detroit Pistons,222,227.33333333333334,228.40611570641445,1.072782373081111,NO_BET,NO_BET,0.0,0.0,1135,
2025-04-05,Atlanta Hawks,New York Knicks,226,236.83333333333334,235.90927756921153,-0.9240557641218174,NO_BET,NO_BET,0.0,0.0,1145,
2025-04-05,Detroit Pistons,Memphis Grizzlies,212,239.66666666666666,226.26024756749445,-13.406419099172211,UNDER,WIN,0.9090909090909091,1.0,1145,
2025-04-05,LA Clippers,Dallas Mavericks,239,221.5,228.59745412579704,7.097454125797043,OVER,WIN,0.9090909090909091,1.0,1145,
2025-04-05,Miami Heat,Milwaukee Bucks,236,215.33333333333334,221.869376868778,6.536043535444662,OVER,WIN,0.9090909090909091,1.0,1145,
2025-04-05,Philadelphia 76ers,Minnesota Timberwolves,223,225.16666666666666,230.15017556885059,4.983508902183928,OVER,LOSS,-1.0,1.0,1145,
2025-04-06,Atlanta Hawks,Utah Jazz,281,244.16666666666666,228.6247038322765,-15.541962834390148,UNDER,LOSS,-1.0,1.0,1150,
2025-04-06,Boston Celtics,Washington Wizards,214,226.0,226.26332769898423,0.26332769898422725,NO_BET,NO_BET,0.0,0.0,1150,
2025-04-06,Brooklyn Nets,Toronto Raptors,229,214.83333333333334,224.36082692015927,9.527493586825926,OVER,WIN,0.9090909090909091,1.0,1150,
2025-04-06,Charlotte Hornets,Chicago Bulls,248,227.66666666666666,232.02733835392044,4.3606716872537845,OVER,WIN,0.9090909090909091,1.0,1150,
2025-04-06,Cleveland Cavaliers,Sacramento Kings,233,236.5,227.7069631989843,-8.793036801015688,UNDER,WIN,0.9090909090909091,1.0,1150,
2025-04-06,Denver Nuggets,Indiana Pacers,245,239.5,243.5432244963635,4.043224496363507,OVER,WIN,0.9090909090909091,1.0,1150,
2025-04-06,Golden State Warriors,Houston Rockets,202,224.5,229.25610289659906,4.75610289659906,OVER,LOSS,-1.0,1.0,1150,
2025-04-06,New Orleans Pelicans,Milwaukee Bucks,218,220.5,229.43360466212587,8.933604662125873,OVER,LOSS,-1.0,1.0,1150,
2025-04-06,New York Knicks,Phoenix Suns,210,228.66666666666666,230.68725439160613,2.0205877249394746,NO_BET,NO_BET,0.0,0.0,1150,
2025-04-06,Oklahoma City Thunder,Los Angeles Lakers,225,232.0,227.0176517798819,-4.982348220118098,UNDER,WIN,0.9090909090909091,1.0,1150,
2025-04-06,Portland Trail Blazers,San Antonio Spurs,229,228.5,223.3899628336691,-5.110037166330898,UNDER,LOSS,-1.0,1.0,1150,
2025-04-07,Detroit Pistons,Sacramento Kings,244,230.5,223.30555703056447,-7.194442969435528,UNDER,LOSS,-1.0,1.0,1161,
2025-04-07,Miami Heat,Philadelphia 76ers,222,213.5,223.65832070923295,10.158320709232953,OVER,WIN,0.9090909090909091,1.0,1161,
2025-04-08,Brooklyn Nets,New Orleans Pelicans,233,213.83333333333334,226.48728538978904,12.653952056455694,OVER,WIN,0.9090909090909091,1.0,1163,
2025-04-08,Charlotte Hornets,Memphis Grizzlies,224,230.5,221.66096291948838,-8.839037080511616,UNDER,WIN,0.9090909090909091,1.0,1163,
2025-04-08,Cleveland Cavaliers,Chicago Bulls,248,240.5,241.16811387666837,0.6681138766683716,NO_BET,NO_BET,0.0,0.0,1163,
2025-04-08,Indiana Pacers,Washington Wizards,202,238.66666666666666,228.56109869394362,-10.105567972723037,UNDER,WIN,0.9090909090909091,1.0,1163,
2025-04-08,LA Clippers,San Antonio Spurs,239,227.5,224.79314210922323,-2.7068578907767744,NO_BET,NO_BET,0.0,0.0,1163,
2025-04-08,Milwaukee Bucks,Minnesota Timberwolves,213,222.5,236.77531950748124,14.275319507481242,OVER,LOSS,-1.0,1.0,1163,
2025-04-08,New York Knicks,Boston Celtics,236,221.5,236.5658357561924,15.0658357561924,OVER,WIN,0.9090909090909091,1.0,1163,
2025-04-08,Oklahoma City Thunder,Los Angeles Lakers,256,226.33333333333334,224.55998862601606,-1.7733447073172783,NO_BET,NO_BET,0.0,0.0,1163,
2025-04-08,Orlando Magic,Atlanta Hawks,231,225.33333333333334,229.67341271079349,4.3400793774601425,OVER,WIN,0.9090909090909091,1.0,1163,
2025-04-08,Phoenix Suns,Golden State Warriors,228,226.83333333333334,226.11180808322746,-0.7215252501058842,NO_BET,NO_BET,0.0,0.0,1163,
2025-04-09,Chicago Bulls,Miami Heat,230,226.66666666666666,234.1673933045319,7.500726637865256,OVER,WIN,0.9090909090909091,1.0,1173,
2025-04-09,Dallas Mavericks,Los Angeles Lakers,209,227.16666666666666,222.75708039234613,-4.409586274320532,UNDER,WIN,0.9090909090909091,1.0,1173,
2025-04-09,Golden State Warriors,San Antonio Spurs,225,231.5,226.41991136595414,-5.080088634045865,UNDER,WIN,0.9090909090909091,1.0,1173,
2025-04-09,LA Clippers,Houston Rockets,251,219.16666666666666,228.50953994244492,9.34287327577826,OVER,WIN,0.9090909090909091,1.0,1173,
2025-04-09,Orlando Magic,Boston Celtics,172,209.16666666666666,228.02620109638042,18.85953442971376,OVER,LOSS,-1.0,1.0,1173,
2025-04-09,Phoenix Suns,Oklahoma City Thunder,237,229.16666666666666,223.25788286500497,-5.908783801661684,UNDER,LOSS,-1.0,1.0,1173,
2025-04-09,Sacramento Kings,Denver Nuggets,240,234.5,235.87908658350705,1.3790865835070463,NO_BET,NO_BET,0.0,0.0,1173,
2025-04-09,Toronto Raptors,Charlotte Hornets,222,217.16666666666666,229.15808933105902,11.99142266439236,OVER,WIN,0.9090909090909091,1.0,1173,
2025-04-09,Utah Jazz,Portland Trail Blazers,259,229.5,221.77206208609988,-7.727937913900121,UNDER,LOSS,-1.0,1.0,1173,
2025-04-09,Washington Wizards,Philadelphia 76ers,225,227.5,217.2103961626219,-10.28960383737811,UNDER,WIN,0.9090909090909091,1.0,1173,
2025-04-10,Brooklyn Nets,Atlanta Hawks,242,230.5,230.22584469353652,-0.2741553064634843,NO_BET,NO_BET,0.0,0.0,1183,
2025-04-10,Detroit Pistons,New York Knicks,221,227.5,230.44782354872373,2.9478235487237328,NO_BET,NO_BET,0.0,0.0,1183,
2025-04-10,Indiana Pacers,Cleveland Cavaliers,226,232.5,242.35265892763306,9.852658927633058,OVER,LOSS,-1.0,1.0,1183,
2025-04-10,Memphis Grizzlies,Minnesota Timberwolves,266,232.5,230.0939062815067,-2.4060937184933096,NO_BET,NO_BET,0.0,0.0,1183,
2025-04-10,Milwaukee Bucks,New Orleans Pelicans,247,222.33333333333334,237.0441556924293,14.710822359095971,OVER,WIN,0.9090909090909091,1.0,1183,
2025-04-11,Boston Celtics,Charlotte Hornets,224,214.0,229.47651041719746,15.47651041719746,OVER,WIN,0.9090909090909091,1.0,1188,
2025-04-11,Chicago Bulls,Washington Wizards,208,235.83333333333334,227.1760575181913,-8.657275815142043,UNDER,WIN,0.9090909090909091,1.0,1188,
2025-04-11,Dallas Mavericks,Toronto Raptors,226,225.16666666666666,234.27310012568498,9.10643345901832,OVER,WIN,0.9090909090909091,1.0,1188,
2025-04-11,Denver Nuggets,Memphis Grizzlies,226,241.5,237.3690619760548,-4.130938023945191,UNDER,WIN,0.9090909090909091,1.0,1188,
2025-04-11,Detroit Pistons,Milwaukee Bucks,244,228.66666666666666,228.58693568032226,-0.07973098634440134,NO_BET,NO_BET,0.0,0.0,1188,
2025-04-11,Indiana Pacers,Orlando Magic,244,217.33333333333334,231.84401500057908,14.510681667245734,OVER,WIN,0.9090909090909091,1.0,1188,
2025-04-11,Los Angeles Lakers,Houston Rockets,249,226.0,224.1374709790163,-1.8625290209836862,NO_BET,NO_BET,0.0,0.0,1188,
2025-04-11,Minnesota Timberwolves,Brooklyn Nets,208,216.5,229.35449427352776,12.854494273527763,OVER,LOSS,-1.0,1.0,1188,
2025-04-11,New Orleans Pelicans,Miami Heat,257,215.16666666666666,230.10702856730492,14.940361900638266,OVER,WIN,0.9090909090909091,1.0,1188,
2025-04-11,New York Knicks,Cleveland Cavaliers,210,226.5,238.85247052428775,12.352470524287753,OVER,LOSS,-1.0,1.0,1188,
2025-04-11,Philadelphia 76ers,Atlanta Hawks,234,240.16666666666666,230.7146592724028,-9.452007394263859,UNDER,WIN,0.9090909090909091,1.0,1188,
