date,game_id,home_team,away_team,actual_total,market_line,predicted_residual,predicted_total,edge,bet_direction,bet_result,profit_units,edge_bucket,train_samples,model_trees
2025-02-23,0022400814,ATL,DET,291,237.33333333333334,-0.012927417563682686,237.32040591576967,-0.012927417563673771,,,,,833,0
2025-02-23,0022400818,NOP,SAS,210,239.5,11.568894728975243,251.06889472897524,11.568894728975238,,,,,833,0
2025-02-23,0022400816,TOR,PHX,236,227.5,-2.5645283976910673,224.93547160230892,-2.5645283976910775,,,,,833,0
2025-02-23,0022400819,CLE,MEM,252,249.5,-6.977205872906453,242.52279412709353,-6.977205872906467,UNDER,LOSS,-1.0,6.0-8.0,833,0
2025-02-23,0022400820,MIN,OKC,253,228.83333333333334,-7.612222567042227,221.2211107662911,-7.612222567042238,UNDER,LOSS,-1.0,6.0-8.0,833,0
2025-02-23,0022400812,GSW,DAL,228,228.5,2.2195938435900135,230.71959384359002,2.219593843590019,,,,,833,0
2025-02-24,0022400823,PHI,CHI,252,232.0,-2.8319369242853667,229.16806307571463,-2.8319369242853725,,,,,843,0
2025-02-24,0022400821,DET,LAC,203,224.0,8.571916385951779,232.57191638595177,8.571916385951766,,,,,843,0
2025-02-24,0022400822,IND,DEN,241,246.33333333333334,8.489317312888526,254.82265064622186,8.489317312888517,,,,,843,0
2025-02-24,0022400824,WAS,BKN,206,214.16666666666666,8.625967413652917,222.79263408031957,8.625967413652916,,,,,843,0
2025-02-24,0022400828,SAC,CHA,218,231.16666666666666,3.5928410547400818,234.75950772140675,3.5928410547400915,,,,,843,0
2025-02-24,0022400827,UTA,POR,226,232.0,5.821882831770998,237.821882831771,5.821882831771006,OVER,LOSS,-1.0,5.0-6.0,843,0
2025-02-24,0022400826,OKC,MIN,259,227.16666666666666,0.2519207549093053,227.41858742157595,0.25192075490929255,,,,,843,0
2025-02-24,0022400825,ATL,MIA,184,227.16666666666666,-1.1784299074398943,225.98823675922677,-1.1784299074398916,,,,,843,0
2025-02-25,0022400834,GSW,CHA,220,222.5,-1.0995934822383546,221.40040651776164,-1.0995934822383617,,,,,851,0
2025-02-25,0022400833,NOP,SAS,212,237.83333333333334,2.3882942476324733,240.22162758096582,2.388294247632473,,,,,851,0
2025-02-25,0022400832,MEM,PHX,299,244.83333333333334,-0.4645321073000036,244.36880122603333,-0.46453210730001615,,,,,851,0
2025-02-25,0022400835,LAL,DAL,206,231.5,-1.4762818662974977,230.02371813370252,-1.4762818662974837,,,,,851,0
2025-02-25,0022400830,ORL,CLE,204,224.16666666666666,-6.187693725124556,217.9789729415421,-6.1876937251245465,UNDER,WIN,0.9090909090909091,6.0-8.0,851,0
2025-02-25,0022400829,TOR,BOS,212,226.33333333333334,0.2561308070468393,226.5894641403802,0.2561308070468442,,,,,851,0
2025-02-25,0022400831,HOU,MIL,197,226.33333333333334,5.0529782203360325,231.38631155366937,5.05297822033603,OVER,LOSS,-1.0,5.0-6.0,851,0
2025-02-26,0022400844,HOU,SAS,224,227.0,3.342857144419806,230.3428571444198,3.34285714441981,,,,,858,0
2025-02-26,0022400843,UTA,SAC,219,235.66666666666666,-1.889198916037737,233.77746775062892,-1.889198916037742,,,,,858,0
2025-02-26,0022400842,CHI,LAC,239,228.0,2.5973177413999573,230.59731774139996,2.597317741399962,,,,,858,0
2025-02-26,0022400841,MIA,ATL,240,229.16666666666666,2.780837695833156,231.9475043624998,2.7808376958331564,,,,,858,0
2025-02-26,0022400836,DET,BOS,214,225.83333333333334,0.676344143893388,226.50967747722672,0.6763441438933739,,,,,858,0
2025-02-26,0022400839,WAS,POR,250,230.33333333333334,7.997851498325108,238.33118483165845,7.997851498325105,OVER,WIN,0.9090909090909091,6.0-8.0,858,0
2025-02-26,0022400838,NYK,PHI,215,231.0,1.81332745135841,232.81332745135842,1.8133274513584183,,,,,858,0
2025-02-26,0022400837,IND,TOR,202,235.83333333333334,-4.069599706796268,231.7637336265371,-4.069599706796254,UNDER,WIN,0.9090909090909091,4.0-5.0,858,0
2025-02-26,0022400840,BKN,OKC,250,217.16666666666666,-12.78062396280793,204.38604270385872,-12.780623962807937,,,,,858,0
2025-02-27,0022400845,ORL,GSW,236,210.5,8.415600524993874,218.91560052499386,8.415600524993863,,,,,867,0
