date,game_id,home_team,away_team,actual_total,market_line,pred_total,edge,bet_direction,profit,result,edge_bucket,train_samples
2025-03-05,0022400895,MEM,OKC,223,250.5,244.42577821506904,-6.074221784930955,UNDER,100.0,WIN,6.0-8.0,913
2025-03-05,0022400897,MIL,DAL,244,225.33333333333334,225.46171082268768,0.12837748935433524,,,,,913
2025-03-05,0022400898,LAC,DET,238,219.5,225.9872692261945,6.487269226194513,OVER,100.0,WIN,6.0-8.0,913
2025-03-05,0022400896,DEN,SAC,226,237.0,238.13810476635706,1.1381047663570598,,,,,913
2025-03-06,0022400899,ATL,IND,242,247.16666666666666,235.9270404151986,-11.239626251468053,,,,,921
2025-03-06,0022400900,BOS,PHI,228,221.83333333333334,228.45106477445407,6.617731441120725,OVER,100.0,WIN,6.0-8.0,921
2025-03-06,0022400901,BKN,GSW,240,224.5,227.42036428179128,2.9203642817912794,,,,,921
2025-03-06,0022400902,NOP,HOU,206,228.33333333333334,224.43750065202934,-3.8958326813040003,,,,,921
2025-03-06,0022400903,LAL,NYK,222,229.66666666666666,221.63921436531072,-8.027452301355936,,,,,921
2025-03-06,0022400944,ORL,CHI,248,219.16666666666666,219.77732009269386,0.6106534260271985,,,,,921
2025-03-07,0022400907,MIA,MIN,210,216.16666666666666,228.089870521057,11.923203854390351,,,,,927
2025-03-07,0022400904,CHA,CLE,235,234.33333333333334,228.15707192717497,-6.176261406158375,UNDER,-110.0,LOSS,6.0-8.0,927
2025-03-07,0022400905,TOR,UTA,227,229.83333333333334,224.6363613195274,-5.196972013805947,UNDER,100.0,WIN,5.0-6.0,927
2025-03-07,0022400906,DAL,MEM,233,239.33333333333334,228.21942716334254,-11.113906169990798,,,,,927
2025-03-07,0022400911,LAC,NYK,200,220.16666666666666,222.68097265343573,2.514305986769074,,,,,927
2025-03-07,0022400909,DEN,PHX,290,237.5,236.62318889413532,-0.8768111058646753,,,,,927
2025-03-07,0022400910,SAC,SAS,236,235.66666666666666,226.2476492395221,-9.419017427144553,,,,,927
2025-03-07,0022400908,OKC,POR,196,227.0,240.6981515028479,13.698151502847907,,,,,927
2025-03-08,0022400917,MIL,ORL,220,217.83333333333334,225.54384951913812,7.710516185804778,OVER,100.0,WIN,6.0-8.0,935
2025-03-08,0022400919,GSW,DET,225,233.33333333333334,231.46163376793066,-1.871699565402679,,,,,935
2025-03-08,0022400916,MIA,CHI,223,226.33333333333334,225.5891845695815,-0.7441487637518378,,,,,935
2025-03-08,0022400918,BOS,LAL,212,226.5,228.73086183190378,2.2308618319037805,,,,,935
2025-03-08,0022400914,ATL,IND,238,243.33333333333334,238.86502265490154,-4.468310678431806,UNDER,100.0,WIN,4.0-5.0,935
2025-03-08,0022400913,HOU,NOP,263,229.66666666666666,226.4297890235221,-3.2368776431445667,,,,,935
2025-03-08,0022400915,TOR,WAS,235,222.66666666666666,222.93022408620604,0.2635574195393815,,,,,935
2025-03-08,0022400912,CHA,BKN,207,212.66666666666666,219.15345885209925,6.486792185432591,OVER,-110.0,LOSS,6.0-8.0,935
2025-03-09,0022400923,NOP,MEM,211,240.16666666666666,233.15054806169434,-7.01611860497232,UNDER,100.0,WIN,6.0-8.0,943
2025-03-09,0022400920,OKC,DEN,230,240.66666666666666,240.3412192285172,-0.3254474381494674,,,,,943
2025-03-09,0022400921,DAL,PHX,241,228.83333333333334,232.01569755952417,3.1823642261908276,,,,,943
2025-03-09,0022400922,MIL,CLE,212,237.83333333333334,234.26166117845003,-3.5716721548833164,,,,,943
2025-03-09,0022400924,PHI,UTA,248,225.33333333333334,224.09542508262612,-1.2379082507072212,,,,,943
2025-03-09,0022400926,POR,DET,231,232.16666666666666,228.29923709738762,-3.8674295692790395,,,,,943
2025-03-09,0022400925,MIN,SAS,265,233.0,226.15502592551636,-6.844974074483645,UNDER,-110.0,LOSS,6.0-8.0,943
2025-03-09,0022400927,LAC,SAC,221,220.83333333333334,227.33136384773812,6.498030514404775,OVER,100.0,WIN,6.0-8.0,943
2025-03-10,0022400931,MIA,CHA,207,216.33333333333334,221.2184814675908,4.885148134257463,OVER,-110.0,LOSS,4.0-5.0,951
2025-03-10,0022400933,CHI,IND,224,241.5,238.69615883035297,-2.803841169647029,,,,,951
2025-03-10,0022400928,ATL,PHI,255,234.5,235.03249955223336,0.5324995522333609,,,,,951
2025-03-10,0022400929,BOS,UTA,222,228.66666666666666,225.94148099065907,-2.725185676007584,,,,,951
2025-03-10,0022400932,TOR,WAS,223,232.16666666666666,223.79511465343208,-8.371552013234577,,,,,951
2025-03-10,0022400939,SAC,NYK,237,220.83333333333334,222.78658457711833,1.9532512437849903,,,,,951
2025-03-10,0022400934,HOU,ORL,181,213.5,225.86619742999906,12.366197429999062,,,,,951
2025-03-10,0022400936,OKC,DEN,267,238.5,237.6167068234558,-0.883293176544214,,,,,951
2025-03-10,0022400937,SAS,DAL,262,229.33333333333334,231.33261759540395,1.9992842620706028,,,,,951
2025-03-10,0022400938,GSW,POR,250,230.5,229.30762964591096,-1.1923703540890358,,,,,951
2025-03-10,0022400935,MEM,PHX,238,242.66666666666666,237.23751025831052,-5.429156408356135,UNDER,100.0,WIN,5.0-6.0,951
2025-03-10,0022400930,BKN,LAL,219,215.66666666666666,223.69831619464287,8.031649527976214,,,,,951
2025-03-11,0022400943,NOP,LAC,247,224.5,229.12863624560606,4.62863624560606,OVER,100.0,WIN,4.0-5.0,963
2025-03-11,0022400942,IND,MIL,229,234.0,230.42264944622292,-3.5773505537770802,,,,,963
2025-03-11,0022400941,DET,WAS,226,234.5,226.8310195885138,-7.668980411486189,UNDER,100.0,WIN,6.0-8.0,963
2025-03-11,0022400940,CLE,BKN,213,227.0,232.6245443396126,5.624544339612612,OVER,-110.0,LOSS,5.0-6.0,963
2025-03-12,0022400948,MIA,LAC,223,209.5,226.13609487610526,16.63609487610526,,,,,967
