market,submarket,model_name,split_year,n_test,auc,mae,brier,log_loss_val,brier_skill,cal_slope,cal_intercept,is_monotonic,pos_rate,avg_precision,feature_group
F5_TeamTotals,away_over_2.0,LGB_tuned,2024,2430,0.5418,0.4706,0.2421,0.678,-0.0209,0.3076,-0.3404,True,0.3864,0.4205,all
F5_TeamTotals,away_over_2.0,LogReg,2025,2430,0.5606,0.4626,0.236,0.6654,-0.0008,0.4719,-0.2675,True,0.3807,0.436,all
F5_TeamTotals,away_over_2.0,LightGBM,2025,2430,0.5558,0.4644,0.2385,0.6718,-0.0116,0.3548,-0.3218,True,0.3807,0.4232,all
F5_TeamTotals,away_over_2.0,LGB_tuned,2025,2430,0.5569,0.4658,0.2363,0.6661,-0.0022,0.4556,-0.2846,True,0.3807,0.4275,all
F5_TeamTotals,away_over_2.5,LogReg,2023,2430,0.5337,0.4641,0.2641,0.7427,-0.0878,0.1509,-0.2365,True,0.4152,0.4475,all
F5_TeamTotals,away_over_2.5,LightGBM,2023,2430,0.5359,0.4631,0.2636,0.7381,-0.0855,0.156,-0.2223,True,0.4152,0.443,all
F5_TeamTotals,away_over_2.5,LGB_tuned,2023,2430,0.543,0.4663,0.2549,0.7109,-0.0497,0.2287,-0.1956,True,0.4152,0.4451,all
F5_TeamTotals,away_over_2.5,LogReg,2024,2430,0.5295,0.4709,0.2473,0.6908,-0.043,0.1824,-0.384,True,0.3864,0.4113,all
F5_TeamTotals,away_over_2.5,LightGBM,2024,2430,0.53,0.4693,0.2472,0.6912,-0.0424,0.1874,-0.3777,True,0.3864,0.4171,all
F5_TeamTotals,away_over_2.5,LGB_tuned,2024,2430,0.5418,0.4706,0.2421,0.678,-0.0209,0.3076,-0.3404,True,0.3864,0.4205,all
F5_TeamTotals,away_over_2.5,LogReg,2025,2430,0.5606,0.4626,0.236,0.6654,-0.0008,0.4719,-0.2675,True,0.3807,0.436,all
F5_TeamTotals,away_over_2.5,LightGBM,2025,2430,0.5558,0.4644,0.2385,0.6718,-0.0116,0.3548,-0.3218,True,0.3807,0.4232,all
F5_TeamTotals,away_over_2.5,LGB_tuned,2025,2430,0.5569,0.4658,0.2363,0.6661,-0.0022,0.4556,-0.2846,True,0.3807,0.4275,all
F5_TeamTotals,away_over_3.0,LogReg,2023,2430,0.5394,0.373,0.2188,0.6599,-0.0732,0.1688,-0.6833,True,0.2852,0.3296,all
F5_TeamTotals,away_over_3.0,LightGBM,2023,2430,0.5482,0.3604,0.2188,0.6604,-0.0734,0.2052,-0.5916,True,0.2852,0.3172,all
F5_TeamTotals,away_over_3.0,LGB_tuned,2023,2430,0.5537,0.3704,0.2128,0.6315,-0.044,0.2674,-0.5481,True,0.2852,0.3192,all
F5_TeamTotals,away_over_3.0,LogReg,2024,2430,0.541,0.3805,0.1985,0.5903,-0.0467,0.2091,-0.8528,True,0.2543,0.2819,all
F5_TeamTotals,away_over_3.0,LightGBM,2024,2430,0.5374,0.3761,0.1971,0.5875,-0.0391,0.1947,-0.8564,True,0.2543,0.2741,all
F5_TeamTotals,away_over_3.0,LGB_tuned,2024,2430,0.5439,0.3792,0.1938,0.5773,-0.0219,0.2965,-0.7616,True,0.2543,0.283,all
F5_TeamTotals,away_over_3.0,LogReg,2025,2430,0.5573,0.3706,0.1927,0.5759,-0.0097,0.3674,-0.6405,True,0.2568,0.2933,all
F5_TeamTotals,away_over_3.0,LightGBM,2025,2430,0.5563,0.3678,0.1936,0.5776,-0.0145,0.3463,-0.6492,True,0.2568,0.2847,all
F5_TeamTotals,away_over_3.0,LGB_tuned,2025,2430,0.5652,0.373,0.1908,0.5691,0.0001,0.5071,-0.5011,True,0.2568,0.2949,all
NRFI,nrfi,LogReg,2023,2430,0.5122,0.4973,0.2695,0.7396,-0.0781,0.0678,-0.0216,True,0.4979,0.5019,all
NRFI,nrfi,LightGBM,2023,2430,0.5147,0.4968,0.2705,0.7416,-0.0818,0.0581,-0.0153,False,0.4979,0.5069,all
NRFI,nrfi,LGB_tuned,2023,2430,0.5201,0.4964,0.2622,0.7207,-0.0488,0.107,-0.0191,True,0.4979,0.5083,all
NRFI,nrfi,LogReg,2024,2427,0.5082,0.4996,0.261,0.7167,-0.0484,0.0625,0.1352,True,0.5328,0.5348,all
NRFI,nrfi,LightGBM,2024,2427,0.5182,0.4971,0.2609,0.7174,-0.0481,0.1147,0.1357,True,0.5328,0.5448,all
NRFI,nrfi,LGB_tuned,2024,2427,0.5144,0.4989,0.2582,0.7108,-0.0373,0.0913,0.1355,True,0.5328,0.5403,all
NRFI,nrfi,LogReg,2025,2430,0.5212,0.4964,0.2539,0.7012,-0.0154,0.2571,-0.0311,True,0.4979,0.5157,all
NRFI,nrfi,LightGBM,2025,2430,0.5082,0.4974,0.2578,0.7096,-0.0313,0.1295,-0.0153,True,0.4979,0.5167,all
NRFI,nrfi,LGB_tuned,2025,2430,0.5243,0.4959,0.2529,0.6992,-0.0116,0.2985,-0.0258,True,0.4979,0.5227,all
NRFI,nrfi,LGB_pitcher_only,2023,2430,0.5065,0.4988,0.2708,0.7416,-0.0832,0.0241,-0.0102,True,0.4979,0.5103,pitcher_only
NRFI,nrfi,LGB_pitcher_only,2024,2427,0.5028,0.4999,0.2634,0.7228,-0.058,-0.0069,0.1314,False,0.5328,0.5328,pitcher_only
NRFI,nrfi,LGB_pitcher_only,2025,2430,0.5095,0.4987,0.2583,0.7112,-0.0334,0.0615,-0.0103,False,0.4979,0.5064,pitcher_only
NRFI,nrfi,LGB_pitcher_park,2023,2430,0.5065,0.4988,0.2708,0.7416,-0.0832,0.0241,-0.0102,True,0.4979,0.5103,pitcher_park
