column,dtype,null_pct,n_unique,category,safe_as_feature,suspicious,in_production_model
home_pos6_behind_1_2_hr_per_pa,float64,0.01,4054,NON-PRODUCTION COLUMN,True,False,False
home_pos7_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos7_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos7_rbi_opp_1_2_ahead_obp,float64,0.01,8475,NON-PRODUCTION COLUMN,True,False,False
home_pos7_rbi_opp_1_4_ahead_obp,float64,0.01,9715,NON-PRODUCTION COLUMN,True,False,False
home_pos7_run_opp_1_2_behind_slg,float64,0.01,8654,NON-PRODUCTION COLUMN,True,False,False
home_pos7_run_opp_1_2_behind_iso,float64,0.01,4314,NON-PRODUCTION COLUMN,True,False,False
home_pos7_run_opp_1_4_behind_slg,float64,0.01,9714,NON-PRODUCTION COLUMN,True,False,False
home_pos7_run_opp_1_4_behind_iso,float64,0.01,9405,NON-PRODUCTION COLUMN,True,False,False
home_pos7_ahead_1_2_hr_per_pa,float64,0.01,5006,NON-PRODUCTION COLUMN,True,False,False
home_pos7_behind_1_2_hr_per_pa,float64,0.01,3514,NON-PRODUCTION COLUMN,True,False,False
home_pos8_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos8_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos8_rbi_opp_1_2_ahead_obp,float64,0.01,8488,NON-PRODUCTION COLUMN,True,False,False
home_pos8_rbi_opp_1_4_ahead_obp,float64,0.01,9716,NON-PRODUCTION COLUMN,True,False,False
home_pos8_run_opp_1_2_behind_slg,float64,0.01,8991,NON-PRODUCTION COLUMN,True,False,False
home_pos8_run_opp_1_2_behind_iso,float64,0.01,5244,NON-PRODUCTION COLUMN,True,False,False
home_pos8_run_opp_1_4_behind_slg,float64,0.01,9715,NON-PRODUCTION COLUMN,True,False,False
home_pos8_run_opp_1_4_behind_iso,float64,0.01,9567,NON-PRODUCTION COLUMN,True,False,False
home_pos8_ahead_1_2_hr_per_pa,float64,0.01,4550,NON-PRODUCTION COLUMN,True,False,False
home_pos8_behind_1_2_hr_per_pa,float64,0.01,4381,NON-PRODUCTION COLUMN,True,False,False
home_pos9_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos9_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos9_rbi_opp_1_2_ahead_obp,float64,0.01,8447,NON-PRODUCTION COLUMN,True,False,False
home_pos9_rbi_opp_1_4_ahead_obp,float64,0.01,9716,NON-PRODUCTION COLUMN,True,False,False
home_pos9_run_opp_1_2_behind_slg,float64,0.01,9007,NON-PRODUCTION COLUMN,True,False,False
home_pos9_run_opp_1_2_behind_iso,float64,0.01,6514,NON-PRODUCTION COLUMN,True,False,False
home_pos9_run_opp_1_4_behind_slg,float64,0.01,9719,NON-PRODUCTION COLUMN,True,False,False
home_pos9_run_opp_1_4_behind_iso,float64,0.01,9651,NON-PRODUCTION COLUMN,True,False,False
home_pos9_ahead_1_2_hr_per_pa,float64,0.01,4054,NON-PRODUCTION COLUMN,True,False,False
home_pos9_behind_1_2_hr_per_pa,float64,0.01,4882,NON-PRODUCTION COLUMN,True,False,False
away_pos1_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos1_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos1_rbi_opp_1_2_ahead_obp,float64,0.01,8350,NON-PRODUCTION COLUMN,True,False,False
away_pos1_rbi_opp_1_4_ahead_obp,float64,0.01,9717,NON-PRODUCTION COLUMN,True,False,False
away_pos1_run_opp_1_2_behind_slg,float64,0.01,8912,NON-PRODUCTION COLUMN,True,False,False
away_pos1_run_opp_1_2_behind_iso,float64,0.01,6828,NON-PRODUCTION COLUMN,True,False,False
away_pos1_run_opp_1_4_behind_slg,float64,0.01,9718,NON-PRODUCTION COLUMN,True,False,False
away_pos1_run_opp_1_4_behind_iso,float64,0.01,9672,NON-PRODUCTION COLUMN,True,False,False
away_pos1_ahead_1_2_hr_per_pa,float64,0.01,3524,NON-PRODUCTION COLUMN,True,False,False
away_pos1_behind_1_2_hr_per_pa,float64,0.01,5000,NON-PRODUCTION COLUMN,True,False,False
away_pos2_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos2_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos2_rbi_opp_1_2_ahead_obp,float64,0.01,8675,NON-PRODUCTION COLUMN,True,False,False
away_pos2_rbi_opp_1_4_ahead_obp,float64,0.01,9719,NON-PRODUCTION COLUMN,True,False,False
away_pos2_run_opp_1_2_behind_slg,float64,0.01,8940,NON-PRODUCTION COLUMN,True,False,False
away_pos2_run_opp_1_2_behind_iso,float64,0.01,6885,NON-PRODUCTION COLUMN,True,False,False
away_pos2_run_opp_1_4_behind_slg,float64,0.01,9717,NON-PRODUCTION COLUMN,True,False,False
away_pos2_run_opp_1_4_behind_iso,float64,0.01,9653,NON-PRODUCTION COLUMN,True,False,False
away_pos2_ahead_1_2_hr_per_pa,float64,0.01,4368,NON-PRODUCTION COLUMN,True,False,False
away_pos2_behind_1_2_hr_per_pa,float64,0.01,5165,NON-PRODUCTION COLUMN,True,False,False
away_pos3_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos3_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos3_rbi_opp_1_2_ahead_obp,float64,0.01,8400,NON-PRODUCTION COLUMN,True,False,False
away_pos3_rbi_opp_1_4_ahead_obp,float64,0.01,9716,NON-PRODUCTION COLUMN,True,False,False
away_pos3_run_opp_1_2_behind_slg,float64,0.01,8960,NON-PRODUCTION COLUMN,True,False,False
away_pos3_run_opp_1_2_behind_iso,float64,0.01,6746,NON-PRODUCTION COLUMN,True,False,False
away_pos3_run_opp_1_4_behind_slg,float64,0.01,9712,NON-PRODUCTION COLUMN,True,False,False
away_pos3_run_opp_1_4_behind_iso,float64,0.01,9591,NON-PRODUCTION COLUMN,True,False,False
away_pos3_ahead_1_2_hr_per_pa,float64,0.01,4979,NON-PRODUCTION COLUMN,True,False,False
away_pos3_behind_1_2_hr_per_pa,float64,0.01,5219,NON-PRODUCTION COLUMN,True,False,False
away_pos4_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos4_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
away_pos4_rbi_opp_1_2_ahead_obp,float64,0.01,8122,NON-PRODUCTION COLUMN,True,False,False
away_pos4_rbi_opp_1_4_ahead_obp,float64,0.01,9718,NON-PRODUCTION COLUMN,True,False,False
away_pos4_run_opp_1_2_behind_slg,float64,0.01,8914,NON-PRODUCTION COLUMN,True,False,False
away_pos4_run_opp_1_2_behind_iso,float64,0.01,6152,NON-PRODUCTION COLUMN,True,False,False
away_pos4_run_opp_1_4_behind_slg,float64,0.01,9717,NON-PRODUCTION COLUMN,True,False,False
away_pos4_run_opp_1_4_behind_iso,float64,0.01,9419,NON-PRODUCTION COLUMN,True,False,False
away_pos4_ahead_1_2_hr_per_pa,float64,0.01,5000,NON-PRODUCTION COLUMN,True,False,False
away_pos4_behind_1_2_hr_per_pa,float64,0.01,4979,NON-PRODUCTION COLUMN,True,False,False
