side,threshold,n_bets,n_wins,win_rate,total_profit,roi,total_profit_fair,roi_fair,avg_edge,median_edge,fold,phase,model,train_start,train_end,test_start,test_end,train_n,test_n
NO,0.5,8,0,0.0,-80.0,-100.0,-80.0,-100.0,0.10472856573711165,0.10902594338192367,3,Phase 1: Baseline,random_forest,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.55,1,0,0.0,-10.0,-100.0,-10.0,-100.0,0.05096011154701219,0.05096011154701219,3,Phase 1: Baseline,random_forest,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.6,0,0,0.0,0.0,0.0,0.0,0.0,,,3,Phase 1: Baseline,random_forest,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.65,0,0,0.0,0.0,0.0,0.0,0.0,,,3,Phase 1: Baseline,random_forest,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.5,37,23,0.6216216216216216,-1.3999999999999986,-0.37837837837837796,11.345143138797297,3.066254902377648,0.17446681493089752,0.173652678502909,3,Phase 2: Modern ML,lightgbm,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.55,34,22,0.6470588235294118,13.800000000000004,4.058823529411766,26.059428853083006,7.66453789796559,0.19570738050676725,0.201521141054797,3,Phase 2: Modern ML,lightgbm,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.6,30,20,0.6666666666666666,22.200000000000003,7.400000000000001,33.415234811830146,11.138411603943382,0.22466381244270203,0.21685222220222833,3,Phase 2: Modern ML,lightgbm,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.65,27,19,0.7037037037037037,36.099999999999994,13.370370370370368,46.76234224984667,17.31938601846173,0.23815972481339587,0.23010113699635348,3,Phase 2: Modern ML,lightgbm,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.5,27,8,0.2962962962962963,-87.19999999999999,-32.29629629629629,-81.01915610046468,-30.007094852023958,0.29611635869378333,0.2416654471539963,3,Phase 2: Modern ML,lightgbm,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.55,25,7,0.28,-89.3,-35.72,-83.86799330976702,-33.54719732390681,0.31310768090093827,0.25328241124932804,3,Phase 2: Modern ML,lightgbm,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
