fold,phase,model,threshold,roi,roi_fair,n_bets,profit,profit_fair,wins,losses,total_staked,avg_edge,median_edge,train_start,train_end,test_start,test_end
2,Phase 2: Modern ML,lightgbm,0.65,14.32,18.32219212532176,25,35.8,45.8054803133044,17,8,250.0,0.24477348242026642,0.23801954957217397,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 2: Modern ML,xgboost,0.5,14.965517241379308,18.929908744405928,29,43.39999999999999,54.89673535877719,20,9,290.0,0.16063478311380106,0.1992860171529982,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 2: Modern ML,xgboost,0.55,17.03703703703703,21.07966073430756,27,45.999999999999986,56.91508398263041,19,8,270.0,0.17641493317256043,0.2025853320510087,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 2: Modern ML,xgboost,0.6,12.839999999999998,16.738416596153645,25,32.099999999999994,41.84604149038411,17,8,250.0,0.19174992892170478,0.20477269157286615,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 2: Modern ML,xgboost,0.65,4.739130434782606,8.31813412524651,23,10.899999999999993,19.131708488066977,15,8,230.0,0.19822583944787564,0.20623186154243267,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 2: Modern ML,catboost,0.5,13.607142857142854,17.56321492087386,28,38.099999999999994,49.17700177844681,19,9,280.0,0.10949588835813927,0.09851721780673872,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 2: Modern ML,catboost,0.55,12.624999999999995,16.56637241587548,24,30.29999999999999,39.75929379810116,16,8,240.0,0.1439350707539493,0.12018422431972081,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 2: Modern ML,catboost,0.6,5.947368421052629,9.644119873997523,19,11.299999999999995,18.323827760595293,12,7,190.0,0.17990185800026004,0.14803861665029472,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 2: Modern ML,catboost,0.65,11.833333333333332,15.735459866997385,18,21.299999999999997,28.323827760595293,12,6,180.0,0.18965655830218722,0.18458210360552585,2023-08-11,2024-09-01,2024-09-14,2024-11-04
3,Phase 1: Baseline,logistic,0.5,5.500000000000001,9.107262537426097,64,35.2,58.28648023952702,42,22,640.0,-0.0018859426711903878,0.004584661772123022,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 1: Baseline,logistic,0.55,5.500000000000001,9.107262537426097,64,35.2,58.28648023952702,42,22,640.0,-0.0018859426711903878,0.004584661772123022,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 1: Baseline,logistic,0.6,11.0,14.778276098701026,46,50.6,67.98007005402472,32,14,460.0,-0.0023935132808214836,0.004584661772123022,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 1: Baseline,logistic,0.65,57.2,62.791106111139094,5,28.6,31.395553055569547,5,0,50.0,0.017766435735889763,0.028581585822249123,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 1: Baseline,poisson,0.5,37.29411764705882,42.03036151394333,34,126.79999999999998,142.90322914740733,29,5,340.0,0.028988362469110393,0.04426093961612798,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 1: Baseline,poisson,0.55,36.85185185185185,41.54981584539812,27,99.49999999999999,112.18450278257494,23,4,270.0,0.06542506412194882,0.09179134445626957,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 1: Baseline,poisson,0.6,46.40909090909091,51.46028956902393,22,102.1,113.21263705185265,20,2,220.0,0.0995013566279348,0.09467187903418056,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 1: Baseline,poisson,0.65,41.27777777777777,46.0776051994202,18,74.3,82.93968935895636,16,2,180.0,0.11390384728729987,0.10957593626008566,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 1: Baseline,random_forest,0.5,-3.428571428571429,-0.12424603324371121,56,-19.2,-0.6957777861647827,34,22,560.0,-0.014847616905414822,-0.020912307630422622,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 1: Baseline,random_forest,0.55,6.08888888888889,9.728375161646701,45,27.400000000000006,43.77768822741015,30,15,450.0,-0.0009930352587505112,-0.0017138709430345456,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 1: Baseline,random_forest,0.6,4.6206896551724155,8.232078504275202,29,13.400000000000006,23.873027662398087,19,10,290.0,0.02985158880797172,0.023458261153064375,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 1: Baseline,random_forest,0.65,15.0,19.093973061825842,11,16.5,21.003370368008426,8,3,110.0,0.07546880689013039,0.06463706282203185,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 2: Modern ML,lightgbm,0.5,-0.37837837837837796,3.066254902377648,37,-1.3999999999999986,11.345143138797297,23,14,370.0,0.15386132600099114,0.15303094399618145,2023-08-11,2024-10-21,2024-10-25,2024-12-22
3,Phase 2: Modern ML,lightgbm,0.55,4.058823529411766,7.66453789796559,34,13.800000000000004,26.059428853083006,22,12,340.0,0.17514752553359952,0.18068393140842332,2023-08-11,2024-10-21,2024-10-25,2024-12-22
