player,date,side,line,oddsDec,pCal,stake,won,profit_pred_only,edge_abs,lastShots,L10_toi,books,lineStd
Alex DeBrincat,2024-10-22,under,3.1,2.380,0.585,0.157,1,0.3927,0.041,1,18.61,5,0.490
Jordan Eberle,2024-10-22,under,2,2.500,0.613,0.195,1,0.5323,0.200,1,16.93,4,0.500
David Pastrnak,2024-10-22,under,4.166666666666667,2.140,0.613,0.150,0,0.3116,0.489,2,18.90,3,0.471
Sidney Crosby,2024-10-22,under,3.25,2.250,0.585,0.139,0,0.3166,0.103,5,20.28,4,0.433
Cutter Gauthier,2024-10-22,under,2.25,2.500,0.613,0.195,0,0.5323,0.190,1,15.18,4,0.433
Mason McTavish,2024-10-22,under,1.8333333333333333,2.400,0.613,0.185,0,0.4710,0.371,1,14.68,3,0.471
Alex Ovechkin,2024-10-23,under,3.1,2.400,0.613,0.185,1,0.4710,0.179,3,17.81,5,0.490
Justin Faulk,2024-10-24,under,1.7,2.260,0.585,0.141,1,0.3225,0.091,0,23.12,5,0.400
Jonathan Marchessault,2024-10-25,under,3.25,2.500,0.533,0.122,0,0.3333,0.005,3,17.92,4,0.433
Ryan O'Reilly,2024-10-25,under,2.1666666666666665,2.400,0.585,0.159,1,0.4044,0.031,1,20.14,3,0.471
Cutter Gauthier,2024-10-26,under,2.3,2.500,0.585,0.170,1,0.4629,0.035,4,15.26,5,0.400
Alexis Lafrenière,2024-10-26,under,3.1,2.250,0.585,0.139,1,0.3166,0.014,2,17.51,5,0.490
Gabriel Vilardi,2024-10-26,under,2.3,2.500,0.613,0.195,1,0.5323,0.652,3,18.10,5,0.400
Jake Neighbours,2024-10-26,under,2.3,2.300,0.585,0.146,0,0.3459,0.078,3,15.80,5,0.400
Justin Faulk,2024-10-26,under,1.7,2.540,0.585,0.174,0,0.4863,0.159,1,22.48,5,0.400
Luke Evangelista,2024-10-26,under,2.25,2.580,0.585,0.177,1,0.5097,0.016,2,13.98,4,0.433
Cutter Gauthier,2024-10-27,under,2.25,2.480,0.613,0.193,0,0.5200,0.285,0,15.20,4,0.433
Brady Tkachuk,2024-10-27,under,4.166666666666667,2.280,0.585,0.144,0,0.3342,0.175,5,19.39,3,0.471
Bo Horvat,2024-10-30,under,3.1,2.360,0.585,0.154,1,0.3810,0.107,2,19.67,5,0.490
Lucas Raymond,2024-10-30,under,2.3,2.250,0.613,0.167,1,0.3790,0.410,0,18.92,5,0.400
Anthony Beauvillier,2024-10-31,under,2.25,2.500,0.585,0.170,0,0.4629,0.039,3,13.52,4,0.433
Matvei Michkov,2024-11-02,under,2.3,2.480,0.585,0.168,1,0.4512,0.109,1,18.42,5,0.400
Owen Tippett,2024-11-02,under,2.7,2.360,0.613,0.181,0,0.4465,0.467,2,17.30,5,0.400
Lucas Raymond,2024-11-02,under,2.3,1.530,0.613,0.000,1,-0.0623,0.244,1,18.53,5,0.400
Jordan Eberle,2024-11-02,under,2.3,2.500,0.613,0.195,1,0.5323,0.243,2,16.64,5,0.400
Mason McTavish,2024-11-03,under,1.8333333333333333,2.300,0.613,0.173,0,0.4097,0.459,0,16.20,3,0.471
Lucas Raymond,2024-11-06,under,2.3,2.450,0.613,0.190,1,0.5016,0.631,1,18.46,5,0.400
Matt Duchene,2024-11-07,under,2.25,2.400,0.585,0.159,1,0.4044,0.088,2,16.20,4,0.433
Adrian Kempe,2024-11-07,under,3.1,2.360,0.585,0.154,0,0.3810,0.102,1,17.86,5,0.490
Jake DeBrusk,2024-11-07,under,1.8333333333333333,2.260,0.585,0.141,0,0.3225,0.158,2,15.75,3,0.471
