date,home,away,home_score,away_score,btts,total_goals,season
2021-01-03,18.00  FC Bayern München,(0-2)  1. FSV Mainz 05,5,2,1,7,2020-21
2021-01-08,20.30  Borussia Mönchengladbach,(2-2)  FC Bayern München,3,2,1,5,2020-21
2021-01-09,18.30  RB Leipzig,(0-0)  Borussia Dortmund,1,3,1,4,2020-21
2021-01-09,1. FC Union Berlin,(1-1)  VfL Wolfsburg,2,2,1,4,2020-21
2021-01-09,SC Freiburg,(2-0)  1. FC Köln,5,0,0,5,2020-21
2021-01-09,Bayer 04 Leverkusen,(0-0)  SV Werder Bremen,1,1,1,2,2020-21
2021-01-09,15.30  FC Schalke 04,(1-0)  TSG 1899 Hoffenheim,4,0,0,4,2020-21
2021-01-09,1. FSV Mainz 05,(0-1)  Eintracht Frankfurt,0,2,0,2,2020-21
2021-01-10,15.30  FC Augsburg,(0-2)  VfB Stuttgart,1,4,1,5,2020-21
2021-01-10,18.00  Arminia Bielefeld,(0-0)  Hertha BSC,1,0,0,1,2020-21
2021-01-15,20.30  1. FC Union Berlin,(0-0)  Bayer 04 Leverkusen,1,0,0,1,2020-21
2021-01-16,15.30  1. FC Köln,Hertha BSC,0,0,0,0,2020-21
2021-01-16,Borussia Dortmund,(0-0)  1. FSV Mainz 05,1,1,1,2,2020-21
2021-01-16,SV Werder Bremen,(0-0)  FC Augsburg,2,0,0,2,2020-21
2021-01-16,VfL Wolfsburg,(2-1)  RB Leipzig,2,2,1,4,2020-21
2021-01-16,TSG 1899 Hoffenheim,Arminia Bielefeld,0,0,0,0,2020-21
2021-01-16,18.30  VfB Stuttgart,(0-1)  Borussia Mönchengladbach,2,2,1,4,2020-21
2021-01-17,18.00  Eintracht Frankfurt,(1-1)  FC Schalke 04,3,1,1,4,2020-21
2021-01-17,15.30  FC Bayern München,(1-0)  SC Freiburg,2,1,1,3,2020-21
2021-01-19,20.30  Hertha BSC,(0-1)  TSG 1899 Hoffenheim,0,3,0,3,2020-21
2021-01-19,Bayer 04 Leverkusen,(1-0)  Borussia Dortmund,2,1,1,3,2020-21
2021-01-19,18.30  Borussia Mönchengladbach,(0-0)  SV Werder Bremen,1,0,0,1,2020-21
2021-01-19,1. FSV Mainz 05,(0-0)  VfL Wolfsburg,0,2,0,2,2020-21
2021-01-20,RB Leipzig,(0-0)  1. FC Union Berlin,1,0,0,1,2020-21
2021-01-20,FC Augsburg,(0-1)  FC Bayern München,0,1,0,1,2020-21
2021-01-20,SC Freiburg,(1-1)  Eintracht Frankfurt,2,2,1,4,2020-21
2021-01-20,20.30  Arminia Bielefeld,(1-0)  VfB Stuttgart,3,0,0,3,2020-21
2021-01-20,18.30  FC Schalke 04,(0-1)  1. FC Köln,1,2,1,3,2020-21
2021-01-22,20.30  Borussia Mönchengladbach,(2-2)  Borussia Dortmund,4,2,1,6,2020-21
2021-01-23,15.30  Arminia Bielefeld,(1-3)  Eintracht Frankfurt,1,5,1,6,2020-21
2021-01-23,Bayer 04 Leverkusen,(0-1)  VfL Wolfsburg,0,1,0,1,2020-21
2021-01-23,SC Freiburg,(2-1)  VfB Stuttgart,2,1,1,3,2020-21
2021-01-23,1. FSV Mainz 05,(2-2)  RB Leipzig,3,2,1,5,2020-21
2021-01-23,FC Augsburg,(1-1)  1. FC Union Berlin,2,1,1,3,2020-21
2021-01-23,18.30  Hertha BSC,(1-2)  SV Werder Bremen,1,4,1,5,2020-21
2021-01-24,15.30  FC Schalke 04,(0-1)  FC Bayern München,0,4,0,4,2020-21
2021-01-24,18.00  TSG 1899 Hoffenheim,(2-0)  1. FC Köln,3,0,0,3,2020-21
2021-01-29,20.30  VfB Stuttgart,(0-0)  1. FSV Mainz 05,2,0,0,2,2020-21
2021-01-30,1. FC Union Berlin,(1-0)  Borussia Mönchengladbach,1,1,1,2,2020-21
2021-01-30,FC Bayern München,(2-1)  TSG 1899 Hoffenheim,4,1,1,5,2020-21
2021-01-30,18.30  RB Leipzig,(0-0)  Bayer 04 Leverkusen,1,0,0,1,2020-21
2021-01-30,Borussia Dortmund,(1-1)  FC Augsburg,3,1,1,4,2020-21
2021-01-30,15.30  Eintracht Frankfurt,(0-0)  Hertha BSC,3,1,1,4,2020-21
2021-01-30,SV Werder Bremen,(0-1)  FC Schalke 04,1,1,1,2,2020-21
2021-01-31,15.30  1. FC Köln,(2-0)  Arminia Bielefeld,3,1,1,4,2020-21
2021-01-31,18.00  VfL Wolfsburg,(2-0)  SC Freiburg,3,0,0,3,2020-21
2021-02-05,20.00  Hertha BSC,(0-1)  FC Bayern München,0,1,0,1,2020-21
2021-02-06,18.30  Borussia Mönchengladbach,(1-1)  1. FC Köln,1,2,1,3,2020-21
2021-02-06,1. FSV Mainz 05,(1-0)  1. FC Union Berlin,1,0,0,1,2020-21
2021-02-06,FC Augsburg,(0-1)  VfL Wolfsburg,0,2,0,2,2020-21
2021-02-06,Bayer 04 Leverkusen,(2-0)  VfB Stuttgart,5,2,1,7,2020-21
2021-02-06,15.30  FC Schalke 04,(0-1)  RB Leipzig,0,3,0,3,2020-21
2021-02-06,SC Freiburg,(0-0)  Borussia Dortmund,2,1,1,3,2020-21
2021-02-07,15.30  TSG 1899 Hoffenheim,(0-1)  Eintracht Frankfurt,1,3,1,4,2020-21
2021-02-12,20.30  RB Leipzig,(2-0)  FC Augsburg,2,1,1,3,2020-21
2021-02-13,15.30  Borussia Dortmund,(1-1)  TSG 1899 Hoffenheim,2,2,1,4,2020-21
2021-02-13,VfB Stuttgart,(1-0)  Hertha BSC,1,1,1,2,2020-21
2021-02-13,SV Werder Bremen,SC Freiburg,0,0,0,0,2020-21
2021-02-13,Bayer 04 Leverkusen,(1-0)  1. FSV Mainz 05,2,2,1,4,2020-21
2021-02-13,18.30  1. FC Union Berlin,FC Schalke 04,0,0,0,0,2020-21
2021-02-14,15.30  Eintracht Frankfurt,(0-0)  1. FC Köln,2,0,0,2,2020-21
2021-02-14,18.00  VfL Wolfsburg,Borussia Mönchengladbach,0,0,0,0,2020-21
2021-02-15,20.30  FC Bayern München,(0-2)  Arminia Bielefeld,3,3,1,6,2020-21
2021-02-19,20.30  Arminia Bielefeld,(0-1)  VfL Wolfsburg,0,3,0,3,2020-21
2021-02-20,15.30  1. FC Köln,(0-0)  VfB Stuttgart,0,1,0,1,2020-21
2021-02-20,Eintracht Frankfurt,(2-0)  FC Bayern München,2,1,1,3,2020-21
2021-02-20,Borussia Mönchengladbach,(1-1)  1. FSV Mainz 05,1,2,1,3,2020-21
2021-02-20,SC Freiburg,(0-0)  1. FC Union Berlin,0,1,0,1,2020-21
2021-02-20,18.30  FC Schalke 04,(0-2)  Borussia Dortmund,0,4,0,4,2020-21
2021-02-21,15.30  Hertha BSC,(0-1)  RB Leipzig,0,3,0,3,2020-21
2021-02-21,18.00  TSG 1899 Hoffenheim,(2-0)  SV Werder Bremen,4,0,0,4,2020-21
2021-02-21,13.30  FC Augsburg,(1-0)  Bayer 04 Leverkusen,1,1,1,2,2020-21
2021-02-26,20.30  SV Werder Bremen,(0-1)  Eintracht Frankfurt,2,1,1,3,2020-21
2021-02-27,15.30  Borussia Dortmund,(0-0)  Arminia Bielefeld,3,0,0,3,2020-21
2021-02-27,VfB Stuttgart,(3-1)  FC Schalke 04,5,1,1,6,2020-21
2021-02-27,FC Bayern München,(2-0)  1. FC Köln,5,1,1,6,2020-21
2021-02-27,VfL Wolfsburg,(1-0)  Hertha BSC,2,0,0,2,2020-21
2021-02-27,18.30  RB Leipzig,(0-2)  Borussia Mönchengladbach,3,2,1,5,2020-21
2021-02-28,15.30  1. FSV Mainz 05,(0-1)  FC Augsburg,0,1,0,1,2020-21
2021-02-28,13.30  1. FC Union Berlin,(1-1)  TSG 1899 Hoffenheim,1,1,1,2,2020-21
2021-02-28,18.00  Bayer 04 Leverkusen,(0-0)  SC Freiburg,1,2,1,3,2020-21
2021-03-05,20.30  FC Schalke 04,1. FSV Mainz 05,0,0,0,0,2020-21
2021-03-06,15.30  Eintracht Frankfurt,(0-0)  VfB Stuttgart,1,1,1,2,2020-21
2021-03-06,Hertha BSC,(0-1)  FC Augsburg,2,1,1,3,2020-21
2021-03-06,Borussia Mönchengladbach,(0-0)  Bayer 04 Leverkusen,0,1,0,1,2020-21
2021-03-06,SC Freiburg,(0-1)  RB Leipzig,0,3,0,3,2020-21
2021-03-06,TSG 1899 Hoffenheim,(2-1)  VfL Wolfsburg,2,1,1,3,2020-21
2021-03-06,18.30  FC Bayern München,(2-2)  Borussia Dortmund,4,2,1,6,2020-21
2021-03-07,15.30  1. FC Köln,(0-0)  SV Werder Bremen,1,1,1,2,2020-21
2021-03-07,18.00  Arminia Bielefeld,1. FC Union Berlin,0,0,0,0,2020-21
2021-03-10,18.30  Arminia Bielefeld,(0-0)  SV Werder Bremen,0,2,0,2,2020-21
2021-03-12,20.30  FC Augsburg,(0-0)  Borussia Mönchengladbach,3,1,1,4,2020-21
2021-03-13,15.30  SV Werder Bremen,(0-2)  FC Bayern München,1,3,1,4,2020-21
2021-03-13,VfL Wolfsburg,(1-0)  FC Schalke 04,5,0,0,5,2020-21
2021-03-13,1. FSV Mainz 05,(0-0)  SC Freiburg,1,0,0,1,2020-21
2021-03-13,1. FC Union Berlin,(0-1)  1. FC Köln,2,1,1,3,2020-21
2021-03-13,18.30  Borussia Dortmund,(0-0)  Hertha BSC,2,0,0,2,2020-21
2021-03-14,13.30  Bayer 04 Leverkusen,(0-1)  Arminia Bielefeld,1,2,1,3,2020-21
2021-03-14,15.30  RB Leipzig,(0-0)  Eintracht Frankfurt,1,1,1,2,2020-21
