date,home,away,home_score,away_score,btts,total_goals,season
2021-01-10,Udinese Calcio,(1-1)  SSC Napoli,1,2,1,3,2020-21
2021-01-11,20.45  Spezia Calcio,(1-1)  UC Sampdoria,2,1,1,3,2020-21
2021-01-15,20.45  SS Lazio,(2-0)  AS Roma,3,0,0,3,2020-21
2021-01-16,15.00  Bologna FC 1909,(1-0)  Hellas Verona FC,1,0,0,1,2020-21
2021-01-16,18.00  Torino FC,Spezia Calcio,0,0,0,0,2020-21
2021-01-16,20.45  UC Sampdoria,(0-0)  Udinese Calcio,2,1,1,3,2020-21
2021-01-17,20.45  FC Internazionale Milano,(1-0)  Juventus FC,2,0,0,2,2020-21
2021-01-17,18.00  Atalanta BC,Genoa CFC,0,0,0,0,2020-21
2021-01-17,FC Crotone,(2-0)  Benevento Calcio,4,1,1,5,2020-21
2021-01-17,12.30  SSC Napoli,(4-0)  ACF Fiorentina,6,0,0,6,2020-21
2021-01-17,15.00  US Sassuolo Calcio,(0-1)  Parma Calcio 1913,1,1,1,2,2020-21
2021-01-18,20.45  Cagliari Calcio,(0-1)  AC Milan,0,2,0,2,2020-21
2021-01-20,15.00  Udinese Calcio,(1-1)  Atalanta BC,1,1,1,2,2020-21
2021-01-22,20.45  Benevento Calcio,(1-0)  Torino FC,2,2,1,4,2020-21
2021-01-23,15.00  AS Roma,(1-1)  Spezia Calcio,4,3,1,7,2020-21
2021-01-23,18.00  AC Milan,(0-1)  Atalanta BC,0,3,0,3,2020-21
2021-01-23,Udinese Calcio,FC Internazionale Milano,0,0,0,0,2020-21
2021-01-23,20.50  ACF Fiorentina,(2-0)  FC Crotone,2,1,1,3,2020-21
2021-01-24,20.45  Parma Calcio 1913,(0-2)  UC Sampdoria,0,2,0,2,2020-21
2021-01-24,Hellas Verona FC,(1-1)  SSC Napoli,3,1,1,4,2020-21
2021-01-24,18.00  SS Lazio,(1-1)  US Sassuolo Calcio,2,1,1,3,2020-21
2021-01-24,15.00  Genoa CFC,(1-0)  Cagliari Calcio,1,0,0,1,2020-21
2021-01-24,12.30  Juventus FC,(1-0)  Bologna FC 1909,2,0,0,2,2020-21
2021-01-29,20.50  Torino FC,(0-0)  ACF Fiorentina,1,1,1,2,2020-21
